frame,landmark_index,x,y,z,visibility
frame_000001.png,0,-0.03871,-0.604775,-0.170793,0.998824
frame_000001.png,1,-0.01588,-0.623109,-0.17446,0.995508
frame_000001.png,2,-0.015425,-0.625797,-0.165746,0.995535
frame_000001.png,3,-0.016426,-0.626132,-0.167774,0.996459
frame_000001.png,4,-0.029889,-0.635003,-0.181755,0.997108
frame_000001.png,5,-0.0287,-0.635613,-0.192296,0.997707
frame_000001.png,6,-0.025522,-0.620932,-0.173907,0.997963
frame_000001.png,7,0.063225,-0.627673,-0.111361,0.997371
frame_000001.png,8,-0.045613,-0.598312,-0.069346,0.995843
frame_000001.png,9,0.003578,-0.594931,-0.135461,0.996996
frame_000001.png,10,-0.028274,-0.566175,-0.15065,0.996651
frame_000001.png,11,0.182201,-0.520308,-0.008109,0.999725
frame_000001.png,12,-0.10921,-0.606126,0.085097,0.999313
frame_000001.png,13,0.374405,-0.60405,-0.056355,0.978832
frame_000001.png,14,-0.298871,-0.606029,0.014825,0.938882
frame_000001.png,15,0.541643,-0.674167,-0.116039,0.989563
frame_000001.png,16,-0.485556,-0.723798,-0.094182,0.965543
frame_000001.png,17,0.58097,-0.699081,-0.129185,0.982489
frame_000001.png,18,-0.503543,-0.756058,-0.138016,0.947444
frame_000001.png,19,0.568366,-0.710972,-0.157163,0.985656
frame_000001.png,20,-0.484607,-0.795471,-0.161282,0.953452
frame_000001.png,21,0.550377,-0.662425,-0.135681,0.983462
frame_000001.png,22,-0.489305,-0.740626,-0.112889,0.952388
frame_000001.png,23,0.083889,0.004422,0.005868,0.999936
frame_000001.png,24,-0.080673,-0.008345,-0.003145,0.999919
frame_000001.png,25,0.076592,0.415788,-0.029833,0.880613
frame_000001.png,26,-0.045899,0.353934,0.006536,0.863311
frame_000001.png,27,0.066292,0.783258,0.115558,0.946793
frame_000001.png,28,-0.047249,0.748189,0.15029,0.934097
frame_000001.png,29,0.040841,0.816721,0.130789,0.782456
frame_000001.png,30,-0.04666,0.783657,0.123436,0.77796
frame_000001.png,31,0.024957,0.827861,0.054675,0.949701
frame_000001.png,32,-0.075488,0.795923,0.041456,0.92992
frame_000002.png,0,-0.034492,-0.606049,-0.172483,0.999219
